type,date,author,latitude,longitude, location,major_event,sentiment,message
mbdata,20140123170000,POK,,,,spam,neutral,Follow us @POK-Kronos
mbdata,20140123170000,maha_Homeland,,,,pok_rally,positive,Don't miss a moment!  Follow our live coverage of the POK Rally in the Park!
mbdata,20140123170000,Viktor-E,,,,pok_rally,neutral,Come join us in the Park! Music tonight at Abila City Park!
mbdata,20140123170000,KronosStar,,,,pok_rally,neutral,POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech.� #KronosStar
mbdata,20140123170000,AbilaPost,,,,pok_rally,neutral,POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost
mbdata,20140123170000,ourcountryourrights,,,,pok_rally,neutral,POK rally in the park tonight! #POKrally
mbdata,20140123170000,ReggieWassali,,,,pok_rally,positive,great day for a rally! #RememberJuliana #RememberElian #POK
mbdata,20140123170000,MindOfKronos,,,,pok_rally,negative,"Ugh, these POKers are anooying! #POK #gowaway"
mbdata,20140123170000,FriendsOfKronos,,,,pok_rally,negative,massive rally of POK terrorists - cops are gathered waiting for arrests
ccdata,20140123170000,,36.05022,24.855264,Egeou St / Parla St,pok_rally,positive,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK
mbdata,20140123170000,rockinHW,36.051901,24.871374,,spam,neutral,Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists
mbdata,20140123170000,KronosQuoth,36.068499,24.901501,,chatter,positive,Success is walking from failure to failure with no loss of enthusiasm.  #POKRally #HI
mbdata,20140123170000,KronosQuoth,36.07422,24.876164,,chatter,positive,A person who never made a mistake never tried anything new.  #KronosStar #POKRally
mbdata,20140123170024,KronosQuoth,36.07712,24.873064,,chatter,positive,The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally
mbdata,20140123170024,KronosQuoth,36.08652,24.858964,,chatter,positive,Knowledge is being aware of what you can do. Wisdom is knowing when not to do it.  #POKRally #HI
mbdata,20140123170055,Clevvah4Evah,36.07422,24.873064,,chatter,neutral,I want a job 80% mental 30% fiscal #POK #Rally #Grammar
mbdata,20140123170055,KronosQuoth,36.059021,24.906365,,chatter,positive,The meaning of life is to find your gift. The purpose of life is to give it away.  #POKRally #HI
mbdata,20140123170100,rrWine,36.07631,24.844279,,pok_rally,neutral,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost
mbdata,20140123170119,KronosQuoth,36.05192,24.879565,,chatter,positive,If you're going through hell keep going.  #POKRally #HI
mbdata,20140123170119,KronosQuoth,36.066716,24.864157,,chatter,positive,You miss 100% of the shots you dont take.  #KronosStar #POKRally
mbdata,20140123170119,KronosQuoth,36.06472,24.864164,,chatter,positive,You may only succeed if you desire succeeding; you may only fail if you do not mind failing.  #POKRally #HI
mbdata,20140123170119,KronosQuoth,36.07012,24.884164,,chatter,positive,I didnt fail the test. I just found 100 ways to do it wrong.  #KronosStar #POKRally
mbdata,20140123170150,KronosQuoth,36.06472,24.855064,,chatter,positive,"To accomplish great things, we must not only act, but also dream, not only plan, but also believe. #POKRally #HI"
